L1,L2,F1,F2,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
21.800,-21.800,145.342,0.100,-23.604,46.219,13.521,-23.382,46.166,13.149,-19.133,45.077,13.391,-18.775,44.891,13.797
21.800,-21.800,145.342,0.100,-23.604,46.219,13.521,-23.382,46.166,13.149,-19.133,45.077,13.391,-18.775,44.891,13.797
21.800,-21.800,145.316,0.100,-23.604,46.208,13.517,-23.382,46.155,13.144,-19.142,45.071,13.388,-18.784,44.884,13.794
21.800,-21.800,145.219,0.100,-23.602,46.198,13.517,-23.379,46.145,13.145,-19.129,45.060,13.388,-18.772,44.874,13.794
21.800,-21.800,145.219,0.100,-23.602,46.198,13.517,-23.379,46.145,13.145,-19.129,45.060,13.388,-18.772,44.874,13.794
21.800,-21.800,145.247,0.100,-23.604,46.196,13.513,-23.381,46.143,13.141,-19.141,45.061,13.385,-18.783,44.874,13.791
21.800,-21.800,145.177,0.100,-23.602,46.190,13.516,-23.379,46.138,13.143,-19.129,45.054,13.387,-18.771,44.868,13.793
21.800,-21.800,145.226,0.100,-23.604,46.192,13.512,-23.382,46.139,13.140,-19.142,45.058,13.384,-18.784,44.871,13.790
21.800,-21.800,145.226,0.100,-23.604,46.192,13.512,-23.382,46.139,13.140,-19.142,45.058,13.384,-18.784,44.871,13.790
21.800,-21.800,145.163,0.100,-23.602,46.188,13.515,-23.379,46.135,13.143,-19.129,45.052,13.387,-18.771,44.866,13.793
21.800,-21.800,145.221,0.100,-23.604,46.190,13.511,-23.382,46.137,13.139,-19.142,45.057,13.383,-18.784,44.870,13.789
21.800,-21.800,145.221,0.100,-23.604,46.190,13.511,-23.382,46.137,13.139,-19.142,45.057,13.383,-18.784,44.870,13.789
21.800,-21.800,145.157,0.100,-23.602,46.187,13.515,-23.379,46.134,13.143,-19.128,45.051,13.387,-18.771,44.866,13.793
21.800,-21.800,145.220,0.100,-23.604,46.190,13.511,-23.382,46.137,13.139,-19.142,45.056,13.383,-18.784,44.869,13.789
21.800,-21.800,145.154,0.100,-23.602,46.187,13.515,-23.379,46.134,13.143,-19.128,45.051,13.387,-18.770,44.866,13.793
21.800,-21.800,145.154,0.100,-23.602,46.187,13.515,-23.379,46.134,13.143,-19.128,45.051,13.387,-18.770,44.866,13.793
21.800,-21.800,145.221,0.100,-23.604,46.190,13.510,-23.382,46.137,13.138,-19.143,45.056,13.382,-18.784,44.869,13.788
21.800,-21.800,145.152,0.100,-23.602,46.187,13.515,-23.379,46.134,13.143,-19.128,45.050,13.388,-18.770,44.866,13.793
21.700,-21.700,145.227,0.100,-23.604,46.190,13.510,-23.382,46.137,13.138,-19.144,45.057,13.381,-18.786,44.869,13.787
21.600,-21.600,144.602,0.100,-23.646,46.421,13.515,-23.425,46.365,13.142,-19.200,45.229,13.383,-18.845,45.037,13.789
21.500,-21.500,144.602,0.100,-23.646,46.421,13.515,-23.425,46.365,13.142,-19.200,45.229,13.383,-18.845,45.037,13.789
21.400,-21.400,142.096,0.100,-23.765,46.685,13.523,-23.544,46.625,13.151,-19.339,45.405,13.388,-18.986,45.210,13.793
21.300,-21.300,141.583,0.100,-23.790,46.916,13.518,-23.571,46.854,13.145,-19.386,45.584,13.378,-19.036,45.383,13.783
21.200,-21.200,140.916,0.100,-23.819,47.151,13.524,-23.601,47.085,13.151,-19.429,45.758,13.384,-19.082,45.554,13.789
21.100,-21.100,140.916,0.100,-23.819,47.151,13.524,-23.601,47.085,13.151,-19.429,45.758,13.384,-19.082,45.554,13.789
21.000,-21.000,139.108,0.100,-23.909,47.526,13.524,-23.692,47.455,13.151,-19.561,46.034,13.377,-19.218,45.823,13.782
20.900,-20.900,138.791,0.100,-23.921,47.813,13.530,-23.705,47.739,13.157,-19.586,46.257,13.383,-19.247,46.041,13.787
20.800,-20.800,138.791,0.100,-23.921,47.813,13.530,-23.705,47.739,13.157,-19.586,46.257,13.383,-19.247,46.041,13.787
20.700,-20.700,137.140,0.100,-24.000,48.222,13.533,-23.786,48.144,13.160,-19.716,46.564,13.379,-19.382,46.340,13.784
20.600,-20.600,136.878,0.100,-24.002,48.526,13.540,-23.790,48.445,13.167,-19.732,46.800,13.385,-19.402,46.573,13.788
20.500,-20.500,136.878,0.100,-24.002,48.526,13.540,-23.790,48.445,13.167,-19.732,46.800,13.385,-19.402,46.573,13.788
20.400,-20.400,135.284,0.100,-24.071,48.950,13.544,-23.862,48.863,13.171,-19.860,47.125,13.384,-19.535,46.888,13.787
20.300,-20.300,135.030,0.100,-24.065,49.261,13.552,-23.857,49.171,13.178,-19.869,47.366,13.389,-19.548,47.126,13.792
20.200,-20.200,134.653,0.100,-24.076,49.546,13.555,-23.870,49.453,13.181,-19.921,47.595,13.390,-19.604,47.348,13.793
20.100,-20.100,134.653,0.100,-24.076,49.546,13.555,-23.870,49.453,13.181,-19.921,47.595,13.390,-19.604,47.348,13.793
20.000,-20.000,132.866,0.100,-24.134,49.957,13.566,-23.931,49.858,13.192,-20.020,47.903,13.395,-19.708,47.652,13.797
19.900,-19.900,132.690,0.100,-24.123,50.269,13.568,-23.921,50.168,13.194,-20.046,48.157,13.395,-19.738,47.900,13.797
19.800,-19.800,132.690,0.100,-24.123,50.269,13.568,-23.921,50.168,13.194,-20.046,48.157,13.395,-19.738,47.900,13.797
19.700,-19.700,130.995,0.100,-24.165,50.701,13.578,-23.966,50.595,13.204,-20.140,48.487,13.400,-19.837,48.225,13.802
19.600,-19.600,130.818,0.100,-24.141,51.021,13.580,-23.944,50.912,13.206,-20.151,48.748,13.399,-19.853,48.480,13.801
